name,table,description
DISTANCE_WALKED,health_records,Linear distance covered while walking. Typical unit mi.
ENERGY_BURNED,health_records,Active kilocalories expended. Typical unit Cal.
ENVIRONMENT_LOUDNESS,health_records,Ambient sound level (A‑weighted). Typical unit dBASPL.
EXERCISE_TIME,health_records,Minutes meeting Apple “Exercise” intensity threshold. Typical unit min.
HEADPHONE_LOUDNESS,health_records,Output level delivered to headphones. Typical unit dBASPL.
HEART_RATE,health_records,Instantaneous beats per minute. Typical unit count/min.
HEART_RATE_VARIABILITY,health_records,Heart‑rate variability (RMSSD). Typical unit ms.
HEIGHT,health_records,User‑entered body height. Typical unit ft or cm.
RESPIRATORY_RATE,health_records,Breaths per minute. Typical unit count/min.
RESTING_HEART_RATE,health_records,Average heart‑rate during rest periods. Typical unit count/min.
SLEEP_STAGE_ASLEEP_UNKNOWN_STAGE,health_records,Minutes asleep – stage unknown. Typical unit min.
SLEEP_STAGE_AWAKE,health_records,Minutes awake while in bed. Typical unit min.
SLEEP_STAGE_DEEP,health_records,Minutes in deep (N3) sleep. Typical unit min.
SLEEP_STAGE_IN_BED,health_records,Total time in bed (sleep opportunity). Typical unit min.
SLEEP_STAGE_LIGHT,health_records,Minutes in light (N1+N2) sleep. Typical unit min.
SLEEP_STAGE_REM,health_records,Minutes in REM sleep. Typical unit min.
STEP_COUNT,health_records,Number of steps taken. Typical unit count. Business logic: when aggregating Apple Health step data, prefer Apple Watch records over iPhone over other devices for overlapping intervals (priority Apple Watch=2, iPhone=1, other=0). Sort records by start_time ascending and device priority descending, then filter overlapping time spans keeping only the first non-overlapping record. A recursive CTE may be used to implement this logic in SQL.
TIME_IN_SUNLIGHT,health_records,Minutes exposed to direct sunlight. Typical unit min.
VO2_MAX,health_records,Maximal oxygen uptake per kg body mass. Typical unit mL/min·kg.
WEIGHT,health_records,Body mass. Typical unit lb or kg.
LOINC_1751-7,lab_data,Albumin [Mass/volume] in Serum or Plasma. Typical unit g/dL. Example test_name variants: Albumin; Albumin, Serum.
